split,conversation_id,turn_index,utterance_id,speaker_id,text,audio_path,video_path,label
train,Ses01F_impro01,0,Ses01F_impro01_F000,unknown,Excuse me.,,,neutral
train,Ses01F_impro01,1,Ses01F_impro01_F001,unknown,Yeah.,,,neutral
train,Ses01F_impro01,2,Ses01F_impro01_F002,unknown,Is there a problem?,,,neutral
train,Ses01F_impro01,5,Ses01F_impro01_F005,unknown,Well what's the problem?  Let me change it.,,,neutral
train,Ses01F_impro01,6,Ses01F_impro01_F006,unknown,What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,,,frustrated
train,Ses01F_impro01,7,Ses01F_impro01_F007,unknown,How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,,,frustrated
train,Ses01F_impro01,8,Ses01F_impro01_F008,unknown,I'm here to get an ID.,,,frustrated
train,Ses01F_impro01,9,Ses01F_impro01_F009,unknown,Like what?  Like a birth certificate?,,,frustrated
train,Ses01F_impro01,11,Ses01F_impro01_F011,unknown,"Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",,,frustrated
train,Ses01F_impro01,12,Ses01F_impro01_F012,unknown,That's out of control.,,,anger
train,Ses01F_impro01,13,Ses01F_impro01_F013,unknown,How long have you been working here?,,,frustrated
train,Ses01F_impro01,14,Ses01F_impro01_F014,unknown,"Clearly.  You know, do you have like a supervisor or something?",,,neutral
train,Ses01F_impro01,15,Ses01F_impro01_F015,unknown,That would - I would appreciate that.  Yeah.,,,frustrated
train,Ses01F_impro01,0,Ses01F_impro01_M000,unknown,Do you have your forms?,,,frustrated
train,Ses01F_impro01,1,Ses01F_impro01_M001,unknown,Let me see them.,,,frustrated
train,Ses01F_impro01,2,Ses01F_impro01_M002,unknown,Who told you to get in this line?,,,frustrated
train,Ses01F_impro01,3,Ses01F_impro01_M003,unknown,Okay. But I didn't tell you to get in this line if you are filling out this particular form.,,,frustrated
train,Ses01F_impro01,4,Ses01F_impro01_M004,unknown,This form is a Z.X.four.,,,frustrated
train,Ses01F_impro01,5,Ses01F_impro01_M005,unknown,"You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",,,frustrated
train,Ses01F_impro01,6,Ses01F_impro01_M006,unknown,No. I need another set of ID to prove this is actually you.,,,frustrated
train,Ses01F_impro01,7,Ses01F_impro01_M007,unknown,I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,,,frustrated
train,Ses01F_impro01,8,Ses01F_impro01_M008,unknown,"No.  I need another ID, a separate one.",,,frustrated
train,Ses01F_impro01,9,Ses01F_impro01_M009,unknown,"A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",,,frustrated
train,Ses01F_impro01,10,Ses01F_impro01_M010,unknown,"Yeah.  We keep it on file, but we need an ID to access that file.",,,frustrated
train,Ses01F_impro01,11,Ses01F_impro01_M011,unknown,I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,,,anger
train,Ses01F_impro01,13,Ses01F_impro01_M013,unknown,Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,,,anger
train,Ses01F_impro02,0,Ses01F_impro02_F000,unknown,Did you get the mail? So you saw my letter?,,,sadness
train,Ses01F_impro02,1,Ses01F_impro02_F001,unknown,Yeah.  I know.,,,sadness
train,Ses01F_impro02,2,Ses01F_impro02_F002,unknown,I don't know.  I put in that. request too. They didn't...,,,sadness
train,Ses01F_impro02,3,Ses01F_impro02_F003,unknown,"I guess, you know, everybody has to make sacrifices.",,,neutral
train,Ses01F_impro02,4,Ses01F_impro02_F004,unknown,"There's people that have given more though, you know?",,,sadness
train,Ses01F_impro02,5,Ses01F_impro02_F005,unknown,I know.,,,sadness
train,Ses01F_impro02,6,Ses01F_impro02_F006,unknown,"There's babies over there, though, that need mothers.",,,neutral
train,Ses01F_impro02,8,Ses01F_impro02_F008,unknown,"Just, you know, kicking myself.",,,sadness
train,Ses01F_impro02,10,Ses01F_impro02_F010,unknown,things just aren't what they seem.,,,sadness
train,Ses01F_impro02,12,Ses01F_impro02_F012,unknown,"If not me then, who?",,,sadness
train,Ses01F_impro02,13,Ses01F_impro02_F013,unknown,"You'll videotape everything, yeah?",,,sadness
train,Ses01F_impro02,14,Ses01F_impro02_F014,unknown,"Maybe you can send it to me, like stream it, yeah?",,,sadness
train,Ses01F_impro02,15,Ses01F_impro02_F015,unknown,Last month--  Yeah.,,,sadness
train,Ses01F_impro02,16,Ses01F_impro02_F016,unknown,I have to find sitters.,,,neutral
train,Ses01F_impro02,17,Ses01F_impro02_F017,unknown,"We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",,,sadness
train,Ses01F_impro02,18,Ses01F_impro02_F018,unknown,And your mother is close by.,,,neutral
train,Ses01F_impro02,19,Ses01F_impro02_F019,unknown,I'll send you lots of letters.,,,sadness
train,Ses01F_impro02,20,Ses01F_impro02_F020,unknown,And I want lots and lots and lots of pictures.,,,sadness
train,Ses01F_impro02,1,Ses01F_impro02_M001,unknown,"I don't understand.  You've already done so much, I don't know why do you have to go back.",,,sadness
train,Ses01F_impro02,3,Ses01F_impro02_M003,unknown,I just don't see how they can make you leave when you have a new baby - we have a new kid.,,,frustrated
train,Ses01F_impro02,5,Ses01F_impro02_M005,unknown,I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,,,sadness
train,Ses01F_impro02,8,Ses01F_impro02_M008,unknown,I know.,,,frustrated
train,Ses01F_impro02,9,Ses01F_impro02_M009,unknown,I just don't see why it has to be you.,,,sadness
train,Ses01F_impro02,10,Ses01F_impro02_M010,unknown,What am I going to do? Huh?,,,sadness
train,Ses01F_impro02,11,Ses01F_impro02_M011,unknown,Yeah.,,,sadness
train,Ses01F_impro02,12,Ses01F_impro02_M012,unknown,Don't you guys have access to computers over there.,,,neutral
train,Ses01F_impro02,13,Ses01F_impro02_M013,unknown,I just don't know how I'm going to do it without you.,,,sadness
train,Ses01F_impro02,14,Ses01F_impro02_M014,unknown,I can't raise a baby by myself.  How?,,,sadness
train,Ses01F_impro02,15,Ses01F_impro02_M015,unknown,I know.,,,neutral
train,Ses01F_impro02,16,Ses01F_impro02_M016,unknown,It's just not fair.,,,frustrated
train,Ses01F_impro03,0,Ses01F_impro03_F000,unknown,Well Vegas was awesome.,,,joy
train,Ses01F_impro03,1,Ses01F_impro03_F001,unknown,"And, um, I got married.",,,joy
train,Ses01F_impro03,2,Ses01F_impro03_F002,unknown,Yeah.  In the old town part.,,,joy
train,Ses01F_impro03,4,Ses01F_impro03_F004,unknown,Um- Yes.  It was very romantic.,,,joy
train,Ses01F_impro03,5,Ses01F_impro03_F005,unknown,It was at the slot machines.,,,joy
train,Ses01F_impro03,6,Ses01F_impro03_F006,unknown,"Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride.",,,joy
train,Ses01F_impro03,8,Ses01F_impro03_F008,unknown,"Yeah.  Well.  You know, because he's leaving the next day.",,,joy
train,Ses01F_impro03,9,Ses01F_impro03_F009,unknown,But we're going to have a honeymoon cruise.,,,joy
train,Ses01F_impro03,10,Ses01F_impro03_F010,unknown,Oh.  I hadn't even thought about that.,,,joy
train,Ses01F_impro03,12,Ses01F_impro03_F012,unknown,Oh.  Totally.,,,joy
train,Ses01F_impro03,13,Ses01F_impro03_F013,unknown,I guess I'll-  I guess I'll have an internet husband.[LAUGHTER],,,joy
train,Ses01F_impro03,15,Ses01F_impro03_F015,unknown,"Yeah, so [LAUGHTER] He's calling me now",,,excited
train,Ses01F_impro03,16,Ses01F_impro03_F016,unknown,"He likes to keep tabs, you know.",,,joy
train,Ses01F_impro03,17,Ses01F_impro03_F017,unknown,"Uh, I think seven hundred and fifty dollars.",,,neutral
train,Ses01F_impro03,18,Ses01F_impro03_F018,unknown,Penny slots. That's what he plays.,,,neutral
train,Ses01F_impro03,19,Ses01F_impro03_F019,unknown,Yeah.,,,neutral
train,Ses01F_impro03,21,Ses01F_impro03_F021,unknown,Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-,,,joy
train,Ses01F_impro03,22,Ses01F_impro03_F022,unknown,Fifty bucks. Mmhmm.,,,neutral
train,Ses01F_impro03,23,Ses01F_impro03_F023,unknown,Yeah.,,,neutral
train,Ses01F_impro03,24,Ses01F_impro03_F024,unknown,Well so now we're married. We have cat children.,,,joy
train,Ses01F_impro03,25,Ses01F_impro03_F025,unknown,"We renamed Brenda, Lumber Janet.",,,joy
train,Ses01F_impro03,26,Ses01F_impro03_F026,unknown,She needs a new name each state that we go into. [LAUGHTER],,,joy
train,Ses01F_impro03,0,Ses01F_impro03_M000,unknown,So what's up?  What's new?,,,neutral
train,Ses01F_impro03,1,Ses01F_impro03_M001,unknown,Yeah.  I heard.,,,neutral
train,Ses01F_impro03,2,Ses01F_impro03_M002,unknown,Shut up.  No- in Vegas?,,,sur
train,Ses01F_impro03,3,Ses01F_impro03_M003,unknown,Who did you marry?,,,excited
train,Ses01F_impro03,6,Ses01F_impro03_M006,unknown,He turned to you and was like...,,,neutral
train,Ses01F_impro03,7,Ses01F_impro03_M007,unknown,[LAUGHTER] That's really romantic.,,,joy
train,Ses01F_impro03,8,Ses01F_impro03_M008,unknown,Yeah.,,,neutral
train,Ses01F_impro03,9,Ses01F_impro03_M009,unknown,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",,,neutral
train,Ses01F_impro03,11,Ses01F_impro03_M011,unknown,Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?,,,neutral
train,Ses01F_impro03,13,Ses01F_impro03_M013,unknown,Like you need another one of those.[LAUGHTER],,,joy
train,Ses01F_impro03,14,Ses01F_impro03_M014,unknown,Is that your phone?,,,joy
train,Ses01F_impro03,15,Ses01F_impro03_M015,unknown,He loves you.,,,joy
train,Ses01F_impro03,16,Ses01F_impro03_M016,unknown,How much did he win at the slot?,,,neutral
train,Ses01F_impro03,17,Ses01F_impro03_M017,unknown,Really? Penny slots?,,,sur
train,Ses01F_impro03,18,Ses01F_impro03_M018,unknown,Wow.,,,sur
train,Ses01F_impro03,19,Ses01F_impro03_M019,unknown,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.,,,neutral
train,Ses01F_impro03,20,Ses01F_impro03_M020,unknown,"But the pennies always get you because you end up spending like, you know, fifty bucks.",,,neutral
train,Ses01F_impro03,21,Ses01F_impro03_M021,unknown,"like, wait, but it's just pennies.  You're like, wait a minute I'm on to you.",,,neutral
train,Ses01F_impro03,22,Ses01F_impro03_M022,unknown,Awesome.,,,excited
train,Ses01F_impro03,23,Ses01F_impro03_M023,unknown,[LAUGHTER] Cat babies.,,,joy
