split,conversation_id,turn_index,utterance_id,speaker_id,text,audio_path,video_path,label
train,0,0,0_0,unknown,also I was the point person on my company’s transition from the KL-5 to GR-6 system.,,,neutral
train,0,1,0_1,unknown,You must’ve had your hands full.,,,neutral
train,0,2,0_2,unknown,That I did. That I did.,,,neutral
train,0,3,0_3,unknown,So let’s talk a little bit about your duties.,,,neutral
train,0,4,0_4,unknown,My duties?  All right.,,,surprise
train,0,5,0_5,unknown,"Now you’ll be heading a whole division, so you’ll have a lot of duties.",,,neutral
train,0,6,0_6,unknown,I see.,,,neutral
train,0,7,0_7,unknown,But there’ll be perhaps 30 people under you so you can dump a certain amount on them.,,,neutral
train,0,8,0_8,unknown,Good to know.,,,neutral
train,0,9,0_9,unknown,We can go into detail,,,neutral
train,0,10,0_10,unknown,No don’t I beg of you!,,,fear
train,0,11,0_11,unknown,"All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.",,,neutral
train,0,12,0_12,unknown,Really?!,,,surprise
train,0,13,0_13,unknown,Absolutely.  You can relax,,,neutral
train,1,0,1_0,unknown,But then who? The waitress I went out with last month?,,,surprise
train,1,1,1_1,unknown,You know? Forget it!,,,sadness
train,1,2,1_2,unknown,"No-no-no-no, no! Who, who were you talking about?",,,surprise
train,1,3,1_3,unknown,"No, I-I-I-I don't, I actually don't know",,,fear
train,1,4,1_4,unknown,Ok!,,,neutral
train,1,5,1_5,unknown,"All right, well...",,,neutral
train,1,8,1_8,unknown,"Yeah, sure!",,,neutral
train,2,0,2_0,unknown,"Hey, Mon.",,,neutral
train,2,1,2_1,unknown,Hey-hey-hey. You wanna hear something that sucks.,,,neutral
train,2,2,2_2,unknown,Do I ever.,,,joy
train,2,3,2_3,unknown,Chris says they’re closing down the bar.,,,sadness
train,2,4,2_4,unknown,No way!,,,surprise
train,2,5,2_5,unknown,"Yeah, apparently they’re turning it into some kinda coffee place.",,,neutral
train,2,6,2_6,unknown,Just coffee! Where are we gonna hang out now?,,,disgust
train,2,7,2_7,unknown,Got me.,,,sadness
train,2,8,2_8,unknown,Can I get a beer.,,,neutral
train,2,9,2_9,unknown,"Hey, did you pick a roommate?",,,neutral
train,2,10,2_10,unknown,You betcha!,,,joy
train,2,11,2_11,unknown,Is it the Italian guy?,,,neutral
train,2,12,2_12,unknown,"Um-mm, yeah right!",,,joy
train,3,0,3_0,unknown,"Oh my God, oh my God! Poor Monica!",,,surprise
train,3,1,3_1,unknown,"What, what, what?!",,,surprise
train,3,2,3_2,unknown,What?!,,,surprise
train,3,3,3_3,unknown,He was with her when he wrote this poem.,,,neutral
train,3,4,3_4,unknown,"Look,  'My vessel so empty with nothing inside.",,,neutral
train,3,5,3_5,unknown,"Now that I've touched you, you seem emptier still.'",,,neutral
train,3,6,3_6,unknown,"He thinks Monica is empty, she is the empty vase!",,,surprise
train,3,8,3_8,unknown,"Oh, totally. Oh, God, oh, she seemed so happy too.",,,sadness
train,3,9,3_9,unknown,Done.,,,neutral
train,4,0,4_0,unknown,Hey!,,,surprise
train,4,1,4_1,unknown,Hi!,,,joy
train,4,2,4_2,unknown,What are you doing here?,,,surprise
train,4,3,4_3,unknown,"Ah y'know, this building is on my paper route so I...",,,neutral
train,4,4,4_4,unknown,Oh.,,,neutral
train,4,5,4_5,unknown,Hi.,,,neutral
train,4,6,4_6,unknown,Hi.,,,neutral
train,4,7,4_7,unknown,How’d did it go?,,,neutral
train,4,8,4_8,unknown,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.",,,joy
train,4,9,4_9,unknown,I’m so proud of you.,,,joy
train,4,10,4_10,unknown,Me too!,,,joy
train,4,11,4_11,unknown,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...",,,sadness
train,4,12,4_12,unknown,I know.,,,neutral
train,4,13,4_13,unknown,Yeah.,,,neutral
train,4,14,4_14,unknown,Yeah.,,,neutral
train,5,0,5_0,unknown,Ameri-can.,,,neutral
train,5,1,5_1,unknown,Ameri-ccan.,,,neutral
train,5,2,5_2,unknown,Ameri-can. Y'know it’s a,,,neutral
train,5,3,5_3,unknown,Everybody!!,,,surprise
train,6,0,6_0,unknown,Good job Joe! Well done! Top notch!,,,joy
train,6,1,6_1,unknown,You liked it? You really liked it?,,,surprise
train,6,2,6_2,unknown,"Oh-ho-ho, yeah!",,,joy
train,6,3,6_3,unknown,Which part exactly?,,,neutral
train,6,4,6_4,unknown,The whole thing! Can we go?,,,neutral
train,6,5,6_5,unknown,"Oh no-no-no, give me some specifics.",,,anger
train,6,6,6_6,unknown,"I love the specifics, the specifics were the best part!",,,joy
train,6,7,6_7,unknown,"Hey, what about the scene with the kangaroo? Did-did you like that part?",,,neutral
train,6,8,6_8,unknown,I was surprised to see a kangaroo in a World War I epic.,,,surprise
train,6,9,6_9,unknown,You fell asleep!!,,,anger
train,6,10,6_10,unknown,There was no kangaroo!,,,anger
train,6,11,6_11,unknown,They didn’t take any of my suggestions!,,,anger
train,6,12,6_12,unknown,That’s for coming buddy.,,,neutral
train,6,13,6_13,unknown,I’ll see you later.,,,neutral
train,6,14,6_14,unknown,Don’t go!,,,sadness
train,6,15,6_15,unknown,I’m sorry.,,,sadness
