split,conversation_id,turn_index,utterance_id,speaker_id,text,audio_path,video_path,label
train,s01_e02_c01,1,s01_e02_c01_u001,unknown,"What you guys don't understand is, for us, kissing is as important as any part of it.",,,joyful
train,s01_e02_c01,2,s01_e02_c01_u002,unknown,"Yeah, right!.......Y'serious?",,,neutral
train,s01_e02_c01,3,s01_e02_c01_u003,unknown,"Oh, yeah!",,,joyful
train,s01_e02_c01,4,s01_e02_c01_u004,unknown,Everything you need to know is in that first kiss.,,,powerful
train,s01_e02_c01,5,s01_e02_c01_u005,unknown,Absolutely.,,,powerful
train,s01_e02_c01,6,s01_e02_c01_u006,unknown,"Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.",,,joyful
train,s01_e02_c01,7,s01_e02_c01_u007,unknown,"Yeah, and-and it's not that we don't like the comedian, it's that-that... that's not why we bought the ticket.",,,neutral
train,s01_e02_c01,8,s01_e02_c01_u008,unknown,"The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.",,,mad
train,s01_e02_c01,9,s01_e02_c01_u009,unknown,"Yeah, well, word of advice: Bring back the comedian. Otherwise next time you're gonna find yourself sitting at home, listening to that album alone.",,,sad
train,s01_e02_c01,10,s01_e02_c01_u010,unknown,....Are we still talking about sex?,,,joyful
train,s01_e02_c02,1,s01_e02_c02_u001,unknown,"No, it's good, it is good, it's just that- mm- doesn't she seem a little angry?",,,scared
train,s01_e02_c02,2,s01_e02_c02_u002,unknown,"Well, she has issues.",,,sad
train,s01_e02_c02,3,s01_e02_c02_u003,unknown,Does she.,,,scared
train,s01_e02_c02,4,s01_e02_c02_u004,unknown,"He's out banging other women over the head with a club, while she sits at home trying to get the mastodon smell out of the carpet!",,,mad
train,s01_e02_c02,5,s01_e02_c02_u005,unknown,"Marsha, these are cave people. Okay? They have issues like 'Gee, that glacier's getting kinda close.' See?",,,neutral
train,s01_e02_c02,6,s01_e02_c02_u006,unknown,"Speaking of issues, isn't that your ex-wife?",,,mad
train,s01_e02_c02,8,s01_e02_c02_u008,unknown,No. No.,,,scared
train,s01_e02_c02,9,s01_e02_c02_u009,unknown,"Yes, it is. Carol! Hi!",,,joyful
train,s01_e02_c02,10,s01_e02_c02_u010,unknown,"Okay, okay, yes, it is. How about I'll, uh, catch up with you in the Ice Age.",,,scared
train,s01_e02_c02,12,s01_e02_c02_u012,unknown,Hi.,,,neutral
train,s01_e02_c02,13,s01_e02_c02_u013,unknown,So.,,,neutral
train,s01_e02_c02,14,s01_e02_c02_u014,unknown,"You look great. I, uh... I hate that.",,,scared
train,s01_e02_c02,15,s01_e02_c02_u015,unknown,Sorry. You look good too.,,,joyful
train,s01_e02_c02,16,s01_e02_c02_u016,unknown,"Ah, well, in here, anyone who... stands erect... So what's new? Still, uh...",,,joyful
train,s01_e02_c02,17,s01_e02_c02_u017,unknown,A lesbian?,,,neutral
train,s01_e02_c02,18,s01_e02_c02_u018,unknown,"Well... you never know. How's, um.. how's the family?",,,peaceful
train,s01_e02_c02,19,s01_e02_c02_u019,unknown,"Marty's still totally paranoid. Oh, and, uh-",,,mad
train,s01_e02_c02,20,s01_e02_c02_u020,unknown,"Why- why are you here, Carol?",,,scared
train,s01_e02_c02,21,s01_e02_c02_u021,unknown,I'm pregnant.,,,neutral
train,s01_e02_c02,22,s01_e02_c02_u022,unknown,Pregnant?!,,,scared
train,s01_e02_c06,1,s01_e02_c06_u001,unknown,"Sorry I'm late, I was stuck at work. There was this big dinosaur.. thing.. anyway.",,,neutral
train,s01_e02_c06,3,s01_e02_c06_u003,unknown,Hi.,,,neutral
train,s01_e02_c06,4,s01_e02_c06_u004,unknown,"Ross, you remember Susan.",,,neutral
train,s01_e02_c06,5,s01_e02_c06_u005,unknown,How could I forget?,,,mad
train,s01_e02_c06,6,s01_e02_c06_u006,unknown,Ross.,,,neutral
train,s01_e02_c06,7,s01_e02_c06_u007,unknown,"Hello, Susan. Good shake. Good shake. So, uh, we're just waiting for...?",,,neutral
train,s01_e02_c06,8,s01_e02_c06_u008,unknown,Dr. Oberman.,,,neutral
train,s01_e02_c06,9,s01_e02_c06_u009,unknown,..Dr. Oberman. Okay. And is he-,,,neutral
train,s01_e02_c06,10,s01_e02_c06_u010,unknown,She.,,,neutral
